,Entity,Code,Year,Category,Amount
0,World,OWID_WRL,1950,Artisanal (small-scale commercial),7526795
1,World,OWID_WRL,1951,Artisanal (small-scale commercial),8278304
2,World,OWID_WRL,1952,Artisanal (small-scale commercial),8272109
3,World,OWID_WRL,1953,Artisanal (small-scale commercial),8469284
4,World,OWID_WRL,1954,Artisanal (small-scale commercial),9226926
5,World,OWID_WRL,1955,Artisanal (small-scale commercial),9545554
6,World,OWID_WRL,1956,Artisanal (small-scale commercial),10303408
7,World,OWID_WRL,1957,Artisanal (small-scale commercial),10425695
8,World,OWID_WRL,1958,Artisanal (small-scale commercial),10172920
9,World,OWID_WRL,1959,Artisanal (small-scale commercial),10385711
10,World,OWID_WRL,1960,Artisanal (small-scale commercial),10703245
11,World,OWID_WRL,1961,Artisanal (small-scale commercial),10846177
12,World,OWID_WRL,1962,Artisanal (small-scale commercial),11015370
13,World,OWID_WRL,1963,Artisanal (small-scale commercial),11005246
14,World,OWID_WRL,1964,Artisanal (small-scale commercial),11303832
15,World,OWID_WRL,1965,Artisanal (small-scale commercial),11653978
16,World,OWID_WRL,1966,Artisanal (small-scale commercial),12084658
17,World,OWID_WRL,1967,Artisanal (small-scale commercial),12386026
18,World,OWID_WRL,1968,Artisanal (small-scale commercial),12303383
19,World,OWID_WRL,1969,Artisanal (small-scale commercial),12211407
20,World,OWID_WRL,1970,Artisanal (small-scale commercial),12365128
21,World,OWID_WRL,1971,Artisanal (small-scale commercial),12398298
22,World,OWID_WRL,1972,Artisanal (small-scale commercial),12753562
23,World,OWID_WRL,1973,Artisanal (small-scale commercial),13688372
24,World,OWID_WRL,1974,Artisanal (small-scale commercial),13309012
25,World,OWID_WRL,1975,Artisanal (small-scale commercial),13432664
26,World,OWID_WRL,1976,Artisanal (small-scale commercial),13761132
27,World,OWID_WRL,1977,Artisanal (small-scale commercial),13892726
28,World,OWID_WRL,1978,Artisanal (small-scale commercial),14360786
29,World,OWID_WRL,1979,Artisanal (small-scale commercial),14616134
